,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
57,58,Toronto,"Manager, Business Planning & Strategy",Visa,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=c619a9543ef09078&fccid=a3f737e511d9fc8c&vjs=3,content_strategy strategy market sales communication_skills project_management salesforce business_operations client_management strategic_planning written_communication mba public_relations excel presentation event_management data_analysis operations
58,59,Toronto,"Manager, Finance",BMO Financial Group,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=57c9b0395165724a&fccid=3a429036b3725efa&vjs=3,derivatives bank primary people_management communication_skills ca finance management_skills accounting continuous_improvement financial_services presentation verbal_communication
59,60,Toronto,Strategic Business Manager,Canadian Bearings Ltd.,"Mississauga, ON",no salary info,http://www.indeed.ca/company/Canadian-Bearings-Ltd./jobs/Strategic-Business-Manager-df78499aab65ab35?fccid=4550767764bbe105&vjs=3,business_manager profitability delivery relationship sales communication_skills customer_satisfaction finance crm_sales continuous_improvement business_finance mba crm medical technical_sales senior_management business_development presentation analytical relationship_management travel
60,61,Toronto,Assistant Manager Graduate Program,Walmart Canada,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=b32647a131b8d3ea&fccid=822bc5d9a49270ea&vjs=3,retail leadership_skills policies merchandising operations
61,62,Toronto,Business Manager X-Ray,Christie Innomed Inc,"Mississauga, ON",no salary info,http://www.indeed.ca/company/Christie-Innomed-Inc/jobs/Business-Manager-X-Ray-7a41689660815dc7?fccid=5671fef34aac269e&vjs=3,strategy positioning business_manager profitability market hospital product_marketing marketing healthcare sales events product_promotion medical technical_support presentation key_accounts advisor business_strategy operations travel
62,63,Toronto,Office Manager/Administrator,EXPRESSROOTER PLUMBING,"Mississauga, ON","$40,000 - $50,000 a year",http://www.indeed.ca/company/ExpressRooter-Plumbing/jobs/Office-Manager-Administrator-d151649a6bc21cb5?fccid=1909450f0bf0c5d9&vjs=3,communication_skills insurance customer_service ms_office excel hiring mr operations
63,64,Toronto,"MANAGER, IT SYSTEMS INTEGRATION AND VENDOR MANAGEMENT",Ministry of Government and Consumer Services,"Toronto, ON","$79,720 - $115,869 a year",http://www.indeed.ca/rc/clk?jk=cb3802ef282f91b0&fccid=c43102d46185a112&vjs=3,delivery leadership_skills contract_management project_management management_skills service_delivery negotiation_skills region vendor_management negotiation stakeholder_management user_experience partnerships
64,65,Toronto,"Manager, Business Analysis - Process Documentation",Scotiabank,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=117efe3af33e9895&fccid=3002307a9e5b4706&vjs=3,bank analytical_skills communication_skills project_management management_skills continuous_improvement business_analysis process_improvement analytical sme operations recruitment
65,66,Toronto,Special Projects Manager,York University,"Toronto, ON","$81,985 - $92,233 a year",http://www.indeed.ca/rc/clk?jk=9c3a5e788f2007f7&fccid=78311129365d34c7&vjs=3,strategy life_cycle delivery growth_strategy communication_skills project_management writing_skills management_skills written_communication crm dealing interpersonal_skills excel presentation analytical proposals
66,67,Toronto,"Finance Manager, Financial Analysis & Business Support",Deloitte,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=b16932b4d7c2cf54&fccid=9e215d88a6b33622&vjs=3,profitability primary leadership_skills financial_reporting communication_skills ca finance written_communication now policies excel sme operations recruitment
